Item Number,Description,Size 1,Size 2,Store,Dept.,Category,SubCat,Vendor,Order Number,OnHand,OnOrder,Layaway,Committed,Cost,PriceUnits,Price,YTD Sales,OrdPt,OrdUp2,LastSale,G/L,Bin Location
1,"Gentlemen prefer Chi O button - 3"" round",,,1,3,!Undefined,!Undefined,260,1,499,0,0,0,0.58,1,2,36.8,0,0,20151001,120010,
10,Give A Hoot button,,,1,3,!Undefined,!Undefined,324,BTN034,39,0,0,0,1,1,2.25,34.2,0,0,20150826,120010,
100,Chi Omega Mom tee,L,WHITE,1,1,2,!Undefined,310,MOTHERS_1508626,3,0,0,0,11.75,1,25,0,0,0,0,120010,
100,Chi Omega Mom tee,M,WHITE,1,1,2,!Undefined,310,MOTHERS_1508626,5,0,0,0,11.75,1,25,0,0,0,0,120010,
100,Chi Omega Mom tee,S,WHITE,1,1,2,!Undefined,310,MOTHERS_1508626,5,0,0,0,11.75,1,25,0,0,0,0,120010,
100,Chi Omega Mom tee,XL,WHITE,1,1,2,!Undefined,310,MOTHERS_1508626,4,0,0,0,11.75,1,25,0,0,0,0,120010,
100,Chi Omega Mom tee,XXL,WHITE,1,1,2,!Undefined,310,MOTHERS_1508626,4,0,0,0,11.75,1,25,0,0,0,0,120010,
10000,,,,1,!Undefined,!Undefined,!Undefined,,10000,0,0,0,0,0,1,0,0,0,0,0,120010,
1002,Sigma Epsilon  Bid Day Tote,,,1,7,!Undefined,!Undefined,310,1002,0,0,0,0,12.25,1,15.75,819,0,0,20141211,120010,
1004,Owl padded case for cell phone,,,1,3,!Undefined,!Undefined,356,32930- OWL,0,0,0,0,8.5,1,19,-7,0,0,20150320,120010,
1006,Custom Theta Mu letter tee,L,RED,1,7,!Undefined,!Undefined,282,GILDAN SOFT STYLE,0,0,0,0,10,1,12.5,75,0,0,20150331,120010,
1006,Custom Theta Mu letter tee,M,RED,1,7,!Undefined,!Undefined,282,GILDAN SOFT STYLE,0,0,0,0,10,1,12.5,150,0,0,20150331,120010,
1006,Custom Theta Mu letter tee,S,RED,1,7,!Undefined,!Undefined,282,GILDAN SOFT STYLE,0,0,0,0,10,1,12.5,300,0,0,20150331,120010,
